时间: 2019-03-29_13:52:47
点赞数       贡献者                                公司名称
 5         yuchaoWu                 BIGO                
 5         janelletrump             淘集集                 
 5         lusenkong                浙江宇视科技              
 5         Notzuonotdied            依图科技                
 5         ColdPlayIm               VIPKID              
 5         7hens                    美的                  
 5         billijoe                 开心人                 
 5         1104797544               haojingkeji         
 4         davidkanou               BYD                 
 4         magang0425               上海久耶供应链管理有限公司       
 4         humengqiao               深圳时空易联              
 4         shaka0919                旷视科技                
 4         jaysunxiao               三七互娱                
 4         qqert12345               网易大部分游戏项目           
 4         910515542                成信大软件工程专业           
 4         605435218                烽火通信                
 4         humengqiao               深圳时空易联              
 4         Notzuonotdied            Bigo                
 4         smileisme                斗米                  
 4         no996noicu               用友 Yonyou           
 4         jialiangxu               中兴                  
 4         jaysunxiao               三七互娱                
 4         shaka0919                旷视科技                
 4         robin-go                 北京容联云通讯             
 4         developNote              掌贝                  
 4         liuchengyong             北京温暖烛光              
 4         yuyang807                玖富                  
 4         KellyLei                 浩鲸科技                
 3         zhaoyugh                 轻松筹                 
 3         li844327426              觅上（北京）科技有限公司        
 3         Pansor                   淘贝                  
 3         Mr573                    蓝思科技                
 3         SheldonFei               上海拜聚                
 3         bnlxl                    万店掌                 
 3         songtangjietinklabs      斗鱼                  
 3         amarky                   微医                  
 3         sober-wang               点我达                 
 3         zhouyuqingaic            DepthsData          
 3         yiranmiao                智造链                 
 3         857092                   Opera               
 3         jackee-yz                寻医问药网               
 3         SheldonFei               上海拜聚                
 3         yh673025667              Momenta             
 3         whgm90                   车主邦                 
 3         cobnut                   福建网龙                
 3         zhaoyugh                 轻松筹                 
 3         sober-wang               点我达                 
 3         caomeibuaichibaicai      歪脸网                 
 2         qwelcr2010               贝壳                  
 2         zjie-zhang               马蜂窝                 
 2         yangweimin888            南京掌控网络科技有限公司        
 2         ty850454                 房多多                 
 2         pencil2014               云来科技                
 2         hongjiasen               jiangsuhx           
 2         Lanfice                  4399                
 2         mada365                  中广热点云               
 2         developNote              膜法世家                
 2         fengchj10                启迪                  
 2         huaziHear                去哪儿网                
 2         ElviraZ                  成都虎娱                
 2         longshenjue              瓜子二手车               
 2         ElviraZ                  成都力比                
 2         Albertontheway           浪潮                  
 2         huaziHear                去哪儿网                
 2         fengchj10                启迪                  
 2         yangweimin888            南京掌控网络科技有限公司        
 2         qwelcr2010               贝壳                  
 2         dfbUsbc2578              浙江盛和网络科技有限公司        
 2         tjuxiaoyi                华为北研所网络产品线          
 2         JackPaul                 海底捞                 
 2         auweitao                 中科软                 
 2         saschapojot              海康威视                
 2         zhanniuniu               北京科蓝软件系统股份有限公司      
 2         yinhutjfox               gishere 云南这里信息技术有限公司  我们一起在公司迎接朝阳 一起相依为命
 2         JaynieZheng              同花顺                 
 2         ziven123                 迅实芯                 
 2         kumoo                    hismart             
 2         Picaku                   乐视                  
 2         LittleFlames             品创时代                
 1         zoumin1516               众安国际                
 1         weizengreal              好未来                 
 1         20gg                     杭州斯第姆               
 1         qigithub                 火星唐斯任辽科技有限公司        
 1         guitaristCat             北京渔塘软件科技有限公司        
 1         magicLaLa                杭州高街科技              
 1         Quekie                   广州市圣湘琳信息科技有限责任公司    
 1         huairoucoder             天眼查                 
 1         LiangHaoXiang            广州百游科技有限公司          
 1         Windywind                华为Cloud BU          
 1         RayHuangCN               腾讯云                 
 1         DaFeng2016               北京思源企通集团            
 1         kongwang                 众安                  
 1         zpczzf                   蓝鸽集团                
 1         songjiayu                网联清算                
 1         happywxs                 盘石网盟                
 1         BetaLi                   博智林机器人              
 1         littlq                   北京海誉动想科技股份有限公司      
 1         littlq                   海马玩                 
 1         NickZhangAlong           群硕软件                
 1         liuxiaoshuai             山东国子软件股份有限公司        
 1         leizhen10000             点我达                 
 1         liudongsir               日本关东金现代             
 1         lcylichenyi              上海思满软件科技            
 1         lk112133                 澜极智谷科技              
 1         liuyuwang2016            Deloitte Consulting 德勤咨询（上海）管理咨询有限公司
 1         Git2Frank                360路由10127          
 1         bossadmin                广州 臭名昭著的外包(强制996,只有周末加班才算,平时的加班没有任何补休)
 1         zhaozhiming              tap4fun(tik实验室)     
 1         alonecarr                南京坦道信息科技有限公司        
 1         suncong1024              汉雅星空文化科技有限公司        
 1         CodeZLei                 乐融集团(原乐视le)         
 1         18840851520              南京杰迈视讯              
 1         yehaia1                  近铁国际物流（深圳） ISD部门    
 1         shanrain                 合力亿捷                
 1         BinvorWin                方欣科技                
 1         cdxzuid                  成都柠檬云（kucoin）       
 1         l1212xiao                一点                  
 1         miccuci                  长沙中融汇智              
 1         nicle-lin                优倍快                 
 1         kanecolin                汽车之家-智能数据中心团队       
 1         macoscoder               上海巨人网络              
 1         99887766554433           小黑鱼                 
 1         CivilPro                 稻禾信息科技              
 1         voidmethod               正和岛                 
 1         mchwindh                 掌门1对1               
 1         wwwwhoami                深圳中证云星智慧物联-9106     
 1         sunKit-io                爱换机                 
 1         BUSBLACK                 中科软                 
 1         retindErCn               万兴科技                
 1         dice-HS                  美亚柏科                
 1         roryone                  重庆紫光华智              
 1         csc-EricWu               武汉威泰科技              
 1         ZhzhIn                   平安科技（深圳）            
 1         MrSevenCheng             初见科技                
 1         zhouxuan0941             科达科技                
 1         xuxuekai                 Tokeninsight        
 1         vuchan                   重庆霏微                
 1         godjiuxutian             江苏慧物数据科技有限公司        
 1         sorrymeto                浙江蚁加科技              
 1         yuyangalan               众泰汽车皮尺部             
 1         huangtingxuan            深圳鑫喆电子科技            
 1         Nedoloroso               天喻教育                
 1         Alanlxh                  Rela                
 1         ziyudiexin               擎盾科技                
 1         TrainNo110               云鸟                  
 1         ymw520369                路索亚网络               
 1         billijoe                 北京信息科技大学-智能信息处理研究所  
 1         Luckydaidai              上海上上德盛集团            
 1         DaFeng2016               思源企通集团              
 1         azlanac                  涂游游戏                
 1         QiangDongxiao            志杰                  
 1         whoamishuaige            小年糕                 
 1         su9257                   上海火魂                
 1         ShowerLi                 巨人                  
 1         scorscor                 鲜果多                 
 1         xusang                   杭州安恒信息科技股份有限公司终端部门  
 1         tangerwei                平安医疗                
 1         finikes                  江苏有个车               
 1         shaka0919                PWC GTS-IFS(普华永道IT部门)
 1         Nevermind1               盈超科技有限公司            
 1         no996no                  中原银行                
 1         Lsmaxs                   租租车                 
 1         Powerfulxxr              银联开发中心              
 1         billijoe                 北京信息科技大学-智能信息处理研究所  
 1         lipengtom                武汉格事化信息技术有限公司       
 1         whoamishuaige            小年糕                 
 1         vuchan                   重庆霏微                
 1         99887766554433           小黑鱼                 
 1         Powerfulxxr              银联开发中心              
 1         AlexYIN                  海信聚好看               
 1         Duan-fei                 香侬科技                
 1         xusang                   杭州安恒信息科技股份有限公司终端部门  
 1         clunique                 启迪国信                
 1         JackeyZ                  阡陌游戏                
 1         magicLaLa                杭州高街科技              
 1         Windywind                华为Cloud BU          
 1         SoftwareTesterWu         网易考拉                
 1         ZhzhIn                   平安科技（深圳）            
 1         RayHuangCN               腾讯云                 
 1         fengsy868                搜狗                  
 1         xiongyingjun             杭州会搜科技              
 1         Powerfulxxr              银联数据中心              
 1         zpczzf                   蓝鸽集团                
 1         BinvorWin                方欣科技                
 1         tangerwei                平安医疗                
 1         Luckydaidai              上海上上德盛集团            
 1         xmstu                    团贷网                 
 1         BUSBLACK                 中科软                 
 1         voidmethod               正和岛                 
 1         lw1156                   江苏鸿信                
 1         finikes                  江苏有个车               
 1         yehaia1                  近铁国际物流（深圳） ISD部门    
 1         zhouxuan0941             科达科技                
 0         netsman1030              税友                  
 0         kuu12                    深圳爱加密科技有限公司         
 0         Mycheers                 深圳易佰网络有限公司          
 0         su9257                   火魂                  
 0         muzi131313               奇点金服                
 0         ufolux                   微众银行                
 0         zhaoyue-sjtu             陆金所                 
 0         LumingA                  杭州中威电子              
 0         bowdar                   成都西山居世游 995         
 0         xtthaop                  360企业安全云安全与行为安全部门   
 0         makelage                 华为NCE  [906,907]    
 0         lhui33                   深圳悠哉网络科技有限公司        
 0         huangzs                  贵阳语玩 公司在北京          
 0         15997082670              江苏淳克网络              
 0         Lanfice                  租租车                 
 0         bluesmath                赞同科技                
 0         MRchenao                 海豚村                 
 0         hl312057208              深圳市网信数码科技有限公司       
 0         FCRc                     千丁互联                
 0         windless0530             快手                  
 0         benhaixu                 第一宇宙科技              
 0         LinXueyuanStdio          上海 汉得 物联网与云事业部      
 0         netsman1030              税友                  
 0         3ch0o                    同程旅游                
 0         TrainNo110               知象科技                
 0         sudamour                 咔哒故事                
 0         qinlaoban                北京国电通网络技术有限公司       
 0         1461376499               996 kills programmer
 0         jojo-g                   厦门盈趣                
 0         xokctah                  宝尊                  
 0         leontea                  Wayhold微乎科技         
 0         wizcas                   杭州智趣智能              
 0         ChenyeJin                洛谷                  
 0         xtthaop                  360企业安全云安全与行为安全部门   
 0         MRchenao                 海豚村                 
 0         zhang20084               EasyAPI             
 0         hexiaowu                 好未来-爱智康             
